name,address,description,rating,reviews__0__username,reviews__0__review,reviews__0__rating,reviews__|,reviews__|__username,reviews__|__review,reviews__|__rating,,latitude,longitute
,,,,,,,16,fengia,"Zzzzzz\nWe went her twice..the 1st time was in the afternoon..the bartenderd was cute but prefeered playing pool than tending to customers,meet some nice people though.The 2nd time was Friday evening at midnight,the 3$ cover is absurd,there is NO DJ,NO Dance floor,NO dancers and NO complimentary drink.this is a small neighborhood bar NOW!..also BEWARE no matter how old your are Bring ID I was carded everywhere I went and Note that last call is at 1:30 and even though the bars close at 2am we couldn't get served at 1:45.they are very strict in WA about their drinking laws....",None,,,
,,,,,,,17,apollo26,hipsters who?\nthe review above is so unture about the Eagle. The Eagle is a an attitude free( ok you got that right ) But Hipsters?Please it's a bar that welcomes everyone from all walks of life. and the DJ there are hands down the best DJs you can find in Seattle.where can you go to a gay bar and listen to Aphex Twin?My Bloody Valentine?no where but the Eagle. so go there...espeiclaly first Saturday of the month and every Sunday and every Wednesday tuesday friday.,None,,,
,,,,,,,18,Ngarcia61,"Knock up in seattle\nA small, dark and unmarked bar that once was an old school leather bar is now a crackhead hangout by day and hipster spot by night. The only redeeming quality is the locals that hang out there from time to time and , it REALLY depends, but the DJ's are good too. Fav nights are thurs and sun.",None,,,
Future of Flight Aviation Center & Boeing Tour,"8415 Paine Field Blvd, Mukilteo, WA 98275, Near: at Hwy 526",Get a first-hand look at the world's largest aircrafts being built in the city renowned for air flight innovation. Seattle's facility features your only chance to see a commercial aircraft being assembled in the U.S.,"100% love it,   2 Ratings",,,,,,,,,47.921928,-122.291481
Seattle Airport Marriott,"3201 South 176th St., Seattle, WA 98188, Near: at 32nd Ave. S",,"50% love it,   2 Ratings",SnopI,"Nice but charges to park\nIt is nice; large; has comfortable beds; nice TV; but, charges you to park; out a ways from the near-downtown main gay area.",Hates it,,,,,,47.56734,-122.33245
Pony,"1221 E Madison St, Seattle, WA 98122, Near: at 12th Ave.","This dive bar pays tribute to the great West Village and Castro bars of the 1970s, occupying a 1930s-vintage gas station turned beloved hangout.","85% love it,   51 Ratings",,,,0,pnppig,Attitude\nThis place is nothing but bitchy hipsters. You walk in and you're treated rudely avoid unless you into that.,Hates it,,47.61307,-122.31585
,,,,,,,1,DTracer,"good crowd, great patio\nOn a warm summer night, the patio fills up and is a lovely place to hang out. The bar has an alternative feel but seems to me to be welcoming of all types and ages. I seem to wind up here every time I'm in Seattle. Not complaining.",Loves it,,,
,,,,,,,2,TomSeattle,The bartender changed my tip from $1 to $10!!!!\nI went there the other night and had one drink for $5 and I tipped $1. I look at my account this morning and I notice that the Snarky bartender added and extra 0 making the tip $10.00. Beware of this place and of the bartenders.,Hates it,,,
,,,,,,,3,rei009,"my favorite bar in the city\nI was visiting town for Warp Tour and stopped by this bar, went 2x favorite in the city , great vibe cheap drinks and hot gogo boys",Loves it,,,
,,,,,,,4,braddallas,Pony Express!!! O G in the house!,None,,,
,,,,,,,5,netboy2005,"They take tabbed out! A bit hipster, but good vibe.",None,,,
,,,,,,,6,postcub,"Edgie hipster neighborhood bar\nIf you are looking for no thrills decor, where guys do guy things, and hot cocky bartenders... this is the place for you. If you like you bar to have a dance floor and your men dressed up and 100% pretty, then this place is not for you. ( Very similar to Mary's Bar in Atlanta ). I will say the bar is not a big bar... more on the neighborhood bar size. It has a 60's porn retro feel.",Loves it,,,
,,,,,,,7,gentihomme,"I call it ""cozy""\nI've been going to Pony since they opened the new space and while it is TINY, that kinda makes it fun. The drink beer selection is basic but tasteful and almost everything else is delightfully not. Think hooters for men who like men amplified and then concentrated in one triangle of Capital Hill. The crowd is always friendly and the patio is mostly covered; must be Seattle. Good solid gay bar.",Loves it,,,
,,,,,,,8,jernben,Creative idea with porn mags... wall paper..\nOwned and ran by queens...girls allowed.. no fun...yawn,Hates it,,,
,,,,,,,9,vrenau,Alternative Queer Bar\nNot your average gay bar. If you like the alternative scene of the NW this is the place to go. No diva music. No pretty preppy boys. It&#039;s more like a raunchy wilder crowd covered with piercings and tattoos (includings bartenders and go go boys).,Loves it,,,
,,,,,,,10,blondofborg,"Like what it's trying to do, but...\nLove the idea behind Pony (gay grunge bar? awesome!), but the place is pretty lame. Staff and crowd are either cliquey or creepy. Strange layout too.",Hates it,,,
,,,,,,,11,MatthewSeattle,This place is a dump!\nWhy bother? Bartenders are jerks. Place smells. SO many other better places to go in Seattle.,Hates it,,,
,,,,,,,12,WestSeattle,"Awful\nTried it several times, horrible bar tender, bad layout and seating, sooo many better places in the area for whatever you're after.",Hates it,,,
,,,,,,,13,sketer,"Don't bother\nDrunk straigh women, snippy bartenders...wow - with so many other GREAT ""GAY"" bars around. Don't bother with this place - way too small, way too much attitude. I have gone 3 times (just to give it a shot) EACH time, highly disappointed! Head to CC's, or Madison Pub - much better bars to start your evening.",Hates it,,,
,,,,,,,14,seattlehomo,"Fun Spot!\nI went to pony after it opened. It was very crowded and the bar space was a little tight, but the patio area was awesome!",Loves it,,,
Queer Bar,"1518 11th Ave, Seattle, WA 98122, Near: E Pine St.","In the heart of central Seattle, this drag-stination is the place to be in lower Capitol Hill. From trivia nights to gender-bending party nights, you'll wanna stop here... at least for the happy hour bar bites.",What do you think of this place? Love it or not?,,,,,,,,,47.61472,-122.31793
Seastar Seattle,"2121 Terry Ave., Suite 108, Seattle, WA 98121, Near: @ Pan Pacific Hotel",,"84% love it,   6 Ratings",,,,0,jeffndhs,"Great food great ambiance\nMy ex and I used to go their yearly on our anniversary, They have great food and really enjoy the vibe of the place. Great for a date, a nice dinner especially if you like Seafood like I do.",Loves it,,47.61827,-122.33751
,,,,,,,1,charlottegayboy,"Good Parts Mismatched Whole\nDinner service: server was good. Belevedere martini straight up with lemon twist was the way I make it for myself. Flash fried shrimp wrapped in sifun noodles excellent. Maytag salad was okay. dressing tasted like something from a jar. Main meal had great presentation. However, the sesame grilled ahi in a soy reduction did not pair well with a somewhat cassarole style baked jasmine rice. Too many directions with the spicing: SE Asian with East Indian two very distinct flavors clashing. Sommalier was terrible. Poor wine suggestion (Sauvignon Blanc) with main course. Not a lot of good information on the wine which was served celler temperature. With the high spicing of the food, we asked the wine be chilled down to temper its cloying characteristics. Dessert was blueberry crisp and key lime cheese cake. Crisp was more like sweetened oatmeal with vanilla ice cream. Key lime tasted okay but had textural issues to the likes of cheese sitting in water. Very pricey for not a lot of quality. Will most likely not repeat this one.",Hates it,,,
,,,,,,,2,nwjeff,Great food great service\nHave been a few times and love this place. Have a nice bar and the food is just incredible. In a new neighborhood I call it Allentown after Paul Allen. Highly recommend this place though it is pricey.,Loves it,,,
Bizzarro,"1307 N 46th St, Seattle, WA 98103, Near: at Stone Way N",,"100% love it,   3 Ratings",GeekGirl,Delicious and bizarre\nOne of my favorite restaurants. Its very small and quaint with phenomenal food. The wait staff is fabulous and the decor is extremely lively and playful. It's a cell phone free zone which I enjoy; they even have a surcharge if you get a call. They have seasonal dishes that are regularly changing and the Cesar salad is served with a steak knife. Hope y'all enjoy it as much as me.,Loves it,,,,,,47.661968,-122.341713
Toulouse Petit Kitchen,"601 Queen Anne Ave. North, Seattle, WA 98109, Near: at Mercer St",Toulouse has a great reputation for delivering delicious food at reasonable prices. It's a little taste of the French Quarter in rainy Seattle. The happy hour is fabulous.,What do you think of this place? Love it or not?,,,,,,,,,47.62486,-122.3571
Dog House Leathers,"1312 E Pike St, Seattle, WA 98122, Near: at 13th Ave","With all the leather and fetish staples you need to make a creative experience that much more special, this place proves that the place to play is in the dog house.","100% love it,   48 Ratings",,,,0,ballpupboy,"The Best: people; products; attitude\nWoof. Where else would a pup go than to a place called Doghouse. The staff is without doubt the best staff of any leather shop in the country and this pup travels quite a bit. They are knowledgable, friendly and down right helpful. If someone were leather/rubber/kink curious THIS is the place to go. TIt is a place to feel comfortable about who you are in the pantheon of the community. It seems to serve as the starting place without the coffee for the community to get together before heading out to the bars. The selection of products is extraordinary per square foot of space of any store; prices are extremely reasonable; and the salesMasters, salesSirs; salesboys; and salespups are incredibly accomodating [can I say that enough times, nope]. This business is essential to the community and deserves its support. Thanks for everything, looking to shop again next visit, WOOF. licks and wags too.",Loves it,,47.61428,-122.31494
,,,,,,,1,MatthewH,"One of the best...\nFetish shops in Seattle! Good selections and great service! Thanks Daddy Jeff, Don, Colby, and all the boys for your assistance in finding what I need.",Loves it,,,
,,,,,,,2,dealwith,"...great place\nHas every thing you need great prices , and no fluff , to the point and helpful ,",Loves it,,,
Hollywood Erotic Boutique,"12706 Lake City Way NE, Seattle, WA 98125","Located a bit outside of town, Hollywood Erotic Boutique is nowhere near as classy as its name implies. But you can fulfill all of your basic sex needs here 24 hours a day. Known as one of Seattle's premier cruise spots.","100% love it,   15 Ratings",tommyfoot1965,theater is lots of fun!\nI recently went here shopping for a new toy and found a small theater downstairs in the shop. you have to pay extra to get in but it is well worth the price of admission. The things i saw and experienced in there were incredible.,Loves it,,,,,,47.72136,-122.29356
Anytime Fitness,"837 North 34 St., Seattle, WA 98103","Anytime Fitness is open anytime you have the urge to workout. Kettlebell, yoga and pilates classes vary on times, but are available throughout the day.","100% love it,   2 Ratings",kingfriday,new location is a big improvement\nThis Anytime Fitness has moved around the corner to 837 N 34th St. The new location is a big improvement mostly because there are now loads of windows to let in daylight. http://seattle.fitropolis.com/d/anytime-fitness-fremont-seattle,Loves it,,,,,,47.64904,-122.348
Carolyn Downs Family Medical Center,"2101 E Yesler Way, Seattle, WA 98122, Near: 21st",The Carolyn Downs Center provides community medical treatment and preventive care to patients regardless of their ability to pay.,"50% love it,   2 Ratings",weekilter,Review of services Carolyn Downs Medical Center\nCarolyn Downs Medical center is fine if anything that concerns you can be handled in 15 minutes. If it can't you probably won't find the care you need. If you require a referral be aware that the entity that you are referred to may make an appointment for you four months from when you need service. If I was to recommend a place to go for quality care I think I might not recommend Carolyn Downs Medical Center.,Hates it,,,,,,47.60132,-122.30448
Social Outreach Seattle (SOSea),"Capitol Hill, Seattle, WA 98122",,"100% love it,   2 Ratings",ShaunKnittel,"Social Justice organization in Seattle, WA",Loves it,,,,,,47.6105,-122.31287
Motif Seattle,"1415 5th Avenue, Seattle, WA 98101, Near: at Pike St",,"100% love it,   2 Ratings",,,,,,,,,47.61002,-122.33542
Hotel Andra,"2000 Fourth Ave., Seattle, WA 98121, Near: at Virginia St",Hotel Andra is a relaxing 119 room boutique hotel on the edge of the Belltown and South Lake District neighborhoods. Be comforted in 315 thread count sheets on special Swedish beds in this stylish spot.,What do you think of this place? Love it or not?,,,,,,,,,47.61343,-122.34005
Babeland,"707 East Pike St., Seattle, WA 98122, Near: Boylston Ave","Babeland is a fun, dyke-friendly sex toy store in downtown Seattle. Besides the wide range of dildos and vibrators, Babeland offers a lot of information for those new to sex play.","100% love it,   13 Ratings",,,,,,,,,47.61394,-122.32288
Blackbird,"5410 22nd Ave NW, Seattle, WA 98107, Near: btwn Ballard Ave. & Market St.",,"100% love it,   3 Ratings",,,,,,,,,47.66798,-122.38443
Theatre Off Jackson,"409 7th Ave S, Seattle, WA 98104","Theatre Off Jackson ensures that a vibrant arts culture thrives in Seattle by operating a sustainable venue dedicated to performance, art and community.","100% love it,   11 Ratings",aslepski,Where adventurous artists and audiences intersect\nTOJ's season is packed with consistently good work. Lots of LGBT programming.,Loves it,,,,,,47.59887,-122.32396
ACT Theatre,"700 Union St, Seattle, WA 98101, Near: at 7th Ave.","ACT is a theatre of new ideas: plays, dance, music, film, and more, all in downtown Seattle.","100% love it,   3 Ratings",,,,,,,,,,
Ummelina,"1525 Fourth Ave., Seattle, WA 98101","New and ancient healing rituals are combined with modern technology to provide unique individual and group treatments. A large menu of aromatherapy, massage and facials are featured.",What do you think of this place? Love it or not?,,,,,,,,,,
The Greater Seattle Business Association,"400 East Pine Street, Seattle, WA 98122","Their Mission: To combine business development, leadership and social action to expand economic opportunities for the LGBT Community and those who support equality for all.","100% love it,   5 Ratings",GSBA,"Your LGBT Chamber of Commerce\nThe GSBA is the Largest Lesbian Gay Bisexual Transgenderd (LGBT) Chamber of Commerce in the Nation. It is also the 2nd largest Chamber of Commerce of in state of Washington. Their mission is to combine business development, leadership and social action to expand economic opportunities for the LGBT Community and those who support equality for all.",Loves it,,,,,,,
Sheraton Seattle Hotel,"1400 6th Avenue, Seattle, WA 98101, Near: at Pike St.",,"100% love it,   2 Ratings",Scott,"Perfectly fine, but not top of my list\nStayed here for the 4th of July Weekend and it was quite nice, but nothing made me want to stay here again. THe location is great, right in the middle of downtown shopping and just a few blocks walk from the Capitol Hill bars. The Seattle Sheraton is a giant hotel -- too many people IMHO and is lacking any distinct personality. The cardio workout room on the top floor is quite amazing, but the pool is overrun with kids. You'll wait forever for the elevator and we were met with a long line at the checkin desk. I'm a big Starwood person, but next time I'll try the Westin a few blocks away.",Loves it,,,,,,,
Doubletree Arctic Club Hotel,"703 3Rd Ave, Seattle, WA 98104, Near: Cherry Street",,What do you think of this place? Love it or not?,,,,,,,,,,
Madison Pub,"1315 E Madison St, Seattle, WA 98122, Near: at E Union St",Great for those interested in a casual night of drinks with friends rather than throngs of strangers.,"96% love it,   127 Ratings",,,,0,pecsz,"Nice pub\nBeer, pool, darts - what more could you want in a pub. Friendly, relaxed and diverse crowd",Loves it,,,
,,,,,,,1,Hochi01,"A pub in the wall\nNice little place to cruise, have a good talk or just have a drink.",Loves it,,,
,,,,,,,2,braddallas,Great venue and cheap drinks. Watch out for Omar.,None,,,
,,,,,,,3,dcfrommke,"The bar I really miss after moving out of Seattle\nMiss it. Great place for a beer, some darts and making new friends.",Loves it,,,
,,,,,,,4,jernben,Older Bear crowd\nNot friendly.... sat at bar trying to strike up conversation and it was like I was speaking Russian,Hates it,,,
,,,,,,,5,bearski7682,"Fun\nGreat drinks, great music and a fun crowd. Made a out of towner feel good in Seattle",Loves it,,,
,,,,,,,6,will8907,"Sports Oriented & Never a Cover\nMadison pub is very much oriented around the sports. It reminds me of some of the English & Irish pubs in the sense it's all about beer, spirits, pool, darts & sports games. Great place to hang out with friends and they never have a cover charge!",Hates it,,,
,,,,,,,7,mrnelson,good bar\nit's a good bar to kick back with friends. relaxed att.,Loves it,,,
,,,,,,,8,mistahpat,Hot much?\nI'd like this place a lot more if it weren't like a sauna all the time!,Hates it,,,
,,,,,,,9,sketer,"Welcoming Sports Pub...\nI love this place, great atmosphere. The people here are friendly, it seems like there is always something going on. Play pool, although the pool players are a little intense for my taste. Darts in the back _ people having a good time. They sponsor a number of different sports teams. It is a __heers_ type place. A great way to start your evening.",Loves it,,,
,,,,,,,10,AdamSandel,"Friendly sports-themed bar\nA very spacious sports-themed bar with a mixed age / race crowd, pool, darts, and a nice community feeling. No cover.",Loves it,,,
,,,,,,,11,gre8dean,"A really cordial place to be\nMy husband and I arrived in Seattle a day early for an Alaskan cruise. That evening we went looking for a gay bar that wasn't full of twinks and was a lot of fun. We found it: the Madison Pub. Everyone - staff and patrons - was very, very friendly. The choice of beers was astonishing. We loved it. When asked, they gave us suggestions on good places to eat. They were all just too nice. The atmosphere was just right. On our next trip to Seattle we'll definitely make a point to visit the Madison Pub again -- and we've already recommended it to other friends who are heading to Seattle.",Loves it,,,
,,,,,,,12,Gr8Karma,Nice place!\nLoved the laid back local atmosphere. Nice neighborhood bar with regular people.,Loves it,,,
,,,,,,,13,allabout,"CAN YOU SAY ""WTF""\nI Don't Get it who in there right mind would ever go to this booooiung pub the bartenders are awfull and quite rude if you like mainstream crap served on a beer sign this bar is for you",Hates it,,,
,,,,,,,14,1goodman,"8 years nobody ever speak to me there\nI have been in Seattle 8 years. I'm not exagerrating, everytime I have been to the Madison NOBODY speaks to me not one word. Very strange - I'm in my 40s and there are plenty of toher 40 somethings there whenever I have gone. Seattle gsy bars in general suck in terms of being unfriendly but the Madison is by the far the worst.",Hates it,,,
,,,,,,,15,NewInTown,"Where the grown ups go\nSometimes I get tired of the noise. I stepped into Madison Pub and immediately began to relax. A bar full of attractive 30-40ish men. Grown ups with real jobs and their own money. Sweet! Money grubbing, drink mooching, twinks will not like this place. Grown ups who like grown ups will love it.",None,,,
Wildrose Tavern,"1021 E Pike St, Seattle, WA 98122, Near: at 11th Ave.",Their wet t-shirt contests may have something to do with the Lesbian popularity.,"86% love it,   28 Ratings",,,,0,Great,"I'm back for Pride 2012 and this time it's for reeeeeel:)\nOk so this time around I couldn't believe the change! Nobody touched me or my friend this year which I am pleased to announce. I was unbelievabley pissed last year but this year it was absolutley fabulous. I'm giving the WILD ROSE 5 stars for freakin fuuuuuun as hell. I love the DJ'S not just ecause their sexy but because their good. Great music, friendley service, lovely people in general. And last but certainley not least one of the owners, yeah you know who you are the petite one with the blond hair is so hot and yet so cool at the same time. This bar is the best:):):) Thumbs Up Wild Rose, Thumbs Up",Loves it,,,
,,,,,,,1,emilyrowe,"What type of bar allows their bar fly's to search and 86 their customers?\nSo after pride this year I and a friend went up to the wild rose, and without any kind of warning implying that we were about to be searched (more like felt up). A kid from out of no where just comes up to my friend and without a word starts touching and grabbing her all over. This kid had no uniform on, no badge, and no identification stating that it was her legal right to just go around touching or searching anyone. Horrified of course we asked her, what legal right she had to be doing what she was doing??? And in an extreemly rude tone she anounced that we were 86 and draws a big black X on my friends hand without warning or permission. What!? Why!? No reason just she didn't like us questioning her. And when we asked to speak to the bars manager the kid and some other woman again without any legal form representing that either of them had any legal right to touch anyone, block us and tell us to just leave. B.S. what type of a messed up bussiness just makes their own rules and disregaurds the law? I will never go back to the rose again and I highly suggest you spend your money elsewhere.",Hates it,,,
,,,,,,,2,twowaycool,"Unwelcoming to guys.\nWent there once for brunch with another male friend, got lots of unfriendly stares from the women there. Every guy I know who has gone has been actively made to feel unwelcome. Ladies, evolve.",Hates it,,,
,,,,,,,3,passionsrod,"Always Hot Women Here\nSometimes the butch older women get jealous and protective but I've met some very nice friendly women here. And if you're a man it's ok, just be polite and considerate.",Loves it,,,
,,,,,,,4,Seattleite,"NOT For Gay Men\nPatrons don't care if you're gay or straight, if you're a male, you are made to feel VERY unwelcome. A lesbian friend of mine was visiting from out of town and the bartender refused to serve me. Embarrassed, I had to ask my friend to order the drinks. We had to leave because patrons blocked me from using the restrooms. I understand that many of the patrons remember an era when they were made to feel unwelcome at gay bars and harbor resentment from those days, but they need to bring themselves into the 21st century.",Hates it,,,
,,,,,,,5,Darque_Rose,"Loved will go back\nA very friendly atmosphere. Bartenders and waitresses are very friendly. Doesn't really matter what time you go, the crowd is great. Prices a reasonable even for someone for a small town like me.",Loves it,,,
,,,,,,,6,Patricia,"What happened......\nIf you are over the age of 30, not the place to meet for a drink except in the early afternoon. Gay men be warned, this is not the place for you. I met a friend and he was most uncomfortable after received some not so nice stares from the other patrons when he walked in. The food is good, the wait staff are always nice, but if you are over 30 or 40 and want a place to meet a friend for a drink be it male or female after 9:00 don't go to the Rose...mostly the young crowd who are not overly welcoming.",Hates it,,,
,,,,,,,7,Rebecca,"STUDS NIGHT OUT\nWildrose is a great place for the hommies to hang out. Great selection of music on the jukebox and of course as all us &quot;studs&quot; know there's gotta be a pool table there for us to hang out. Decent food, strong drinks and great atmosphere. Easy to find and kinda industrial sitting meets CHEERS.",Loves it,,,
Unicorn,"1118 E. Pike, Seattle, WA 98122, Near: btwn 11th & 12th","This place is known for loud music, great drinks, carnival food, and its decor.","96% love it,   22 Ratings",,,,0,Tatursan,"Fun place and usually packed. Mixed, not men only if that is what you want. Karaoke nights are a must",None,,,
,,,,,,,1,eleganthoodlum,Not gay-friendly at all\nI had a good friend who worked there and was 86ed there anyway for commenting on a straight couple who were groping each other aggressively (my comment was basically get a room). Another friend from a band had his birthday party there a year later and when I tried to go I was told by the staff that I was never welcome there again. In an extremely rude way. It goes back to the fact that there are very few places left in Seattle where a gay man is welcome.,Hates it,,,
,,,,,,,2,lara.francob,!!!,Loves it,,,
Canlis,"2576 Aurora Ave., Seattle, WA",,What do you think of this place? Love it or not?,,,,,,,,,,
W Seattle,"1112 4th Avenue, Seattle, WA 98101, Near: at Seneca St.",,"100% love it,   5 Ratings",,,,0,Carlosb213,"Love the W !!!\nThis Chain of hotels are mine and my partners choice whenever we are in San Francisco, New York or San Diego. They are super gay friendly, hip and take care of their guest. Well worth the money for us Homosuperiors that can afford it.",Loves it,,,
,,,,,,,1,skier74,"Hotel of choice when on business\nThe W Seattle is my hotel of choice when I'm in town on business. Rates are probably a little too high for a leisure stay. I'm always treated well by the staff. The rooms are very comfortable, well-appointed and a good size. I usually get a semi-decent view.",Loves it,,,
Grand Hyatt Seattle,"721 Pine St, Seattle, WA 98101, Near: 7th Ave.",,"100% love it,   1 Rating",bearski7682,A truly awesome weekend.\nMy partner had never been to Seattle so drove he and myself from Portland for a long weekend. We checked into the Grand Hyatt. It was truly beautiful and luxurious. One of the best hotels I have experienced in my life. It was a magic weekend for the both of us.,Loves it,,,,,,,
LGBTQ Allyship,"PO Box 12187, Seattle, WA 98122",No physical address so contact this organization by phone or mail.,"100% love it,   1 Rating",,,,,,,,,,
Vida Wellness Spa,"900 Lenora St., Suite 220, Seattle, WA 98121","Located within the Pan Pacific Hotel, Vida Wellness is worth a drop in regardless of where you may be staying. Among its more unique packages are the beer therapy and ayurvedic cleanse.",What do you think of this place? Love it or not?,,,,,,,,,,
Seattle Rainbow Crosswalk,"10th Ave, Seattle, WA",,What do you think of this place? Love it or not?,,,,,,,,,,
Re-bar,"1114 Howell St, Seattle, WA 98101, Near: Boren","Since being established in 1990, this is one of the last holdouts of Seattle__ indie theatre/nightclubs, heralded as a critical cultural facet.","95% love it,   40 Ratings",,,,0,slimrfun,"Room for improvement\nCons - the stench was repulsive and staff almost rude. Especially the blonde female bar tender. Didn't expect much from this place based on other reviews, and they did not disappoint. Pro's of this place was the patron atmosphere was about just being yourself and dancing the night away. We felt more welcome here than at the Q. The dj new how to play the low quality sound system and made a great dance beat. I can see myself coming back to this place - If I where drunk and desperate.",Hates it,,,
,,,,,,,1,AdamSandel,"Not edgy, just grungy\nKurt Cobain is dead and I don't pay no $8 cover for a run-down place like this.",Hates it,,,
,,,,,,,2,allabout,This Place is cool and edgy\nI like there shows and music rocks aka Kingofpants,Loves it,,,
,,,,,,,3,fengia,very much a dive....\nWe went here on a friday night aroud 11pm 5$ cover.The music was VERY LOUD....Techno/indutrial a pretty good mix of sound but the crowed was very sparse...left after one drink.better for younger folks,None,,,
,,,,,,,4,nursemike,Sunday Nights\nGreat HOUSE MUSIC on the west coast.,Loves it,,,
Stellar Pizza,"5513 Airport Way S, Seattle, WA 98108, Near: at Lucile St",Stellar uses local Seattle ingredients in their menu and offers family-owned craft brews on tap.,"100% love it,   12 Ratings",,,,0,Dizzygfunk,Went for pizza got the salad\nI really like the ambiance of the place as well as the beer on tap. Ordered the Greek salad even though it&#039;s a pizza place. Excellent salad. If you order a full salad make sure your date helps you because one person cannot finish it.,Loves it,,,
,,,,,,,1,sbradford,"More than pizza\nGreat friendly environment, good for groups, and check out the other menu items, like the bacon topped mac n cheese!",Loves it,,,
,,,,,,,2,tgbusse,Just great pizza\nJust great pizza in a really fun environment. What more can I say?,Loves it,,,
Caffe Ladro,"2205 Queen Anne Ave. North, Seattle, WA 98109",,"100% love it,   3 Ratings",,,,,,,,,,
FIVE Restaurant | Bistro,"650 Edmonds Way, Edmonds, WA 98020",FIVE creates an urban feel in suburbia. Try their pizzas and you will be guaranteed a second visit.,"100% love it,   2 Ratings",nwjeff,Worth the drive\nYeah I know that 5 is out of the way (Exit 177) on the way to the Kingston Ferry (Edmonds) but it is a nice small place with great food. Plus for us it is close to home which makes it even better. From starters to salads to pizzas to outsides they all have 5 selections hence the name. If you are on the way to the Kingston Ferry or just in the area well worth the stop.,Loves it,,,,,,,
Warwick Seattle,"401 Lenora St, Seattle, WA 98121, Near: 4th Ave",The Warwick is walking distance to many of Seattle's most popular attractions--just not the gay ones. To get to Capital Hill you'll need a cab or a car.,"100% love it,   4 Ratings",,,,0,tarantino,"stay in this hotel !!!!\nWe paid an extra twenty dollars for a room upgrade, our room was on the 15th floor facing the space needle, easily the best view we have ever had in a hotel. great staff, indoor pool and gym, we were very pleased.",Loves it,,,
,,,,,,,1,PlexSeattle,"Nice Place\nConveniently located to downtown shopping and the Pioneer Square/Belltown clubs, this is a nicer place than you might expect for the price in DT Seattle. Be nice if they had free parking.",Loves it,,,
,,,,,,,2,JimmySF,"Convenient? Check!\nI loved this hotel. It was walking distance to everything. The staff was friendly and super accommodating. They made you feel right at home. Our room was big and homey, however the only thing we didn't really like is how hard our bed was. However, that is just our preference. All in all, I would stay there again in a heart beat!",Loves it,,,
Mozart Guest House Seattle,"1013 15th Ave E, Seattle, WA 98112, Near: E Ward St","Get a great breakfast at this stately old mansion, and jut out to all the landmarks. This well-appointed and well located options can be your Seattle sweet spot.","100% love it,   1 Rating",cleangreen,"Just a more civilized way to stay\nWhether you're an ou of town traveler (like me an my partner) or just looking for an escape in Seattle that's convenient to Capital Hill and right on the corner of Volunteer Park, I can't imagine a nicer place to stay. Tina, the innkeeper, is a wonderfully welcoming person, a fantastic cook, and keeps an impeccable inn with classic charm but modern features like new bathrooms, wi-fi, and satellite TV. She'll make a fantastic breakfast every morning, with homemade croissants, crepes, preserves to your liking. She was more than happy to accomodate vegetarians and really, any need you could possibly have. Stay here and spread the word. There's a piano in the parlor and her daughter is an actor, so you might get the chance to hear some beautiful singing in the home. A real treat.",Loves it,,,,,,,
Seattle Men's Chorus & Seattle Women's Chorus,"319 12th Ave, Seattle, WA 98122, Near: at East Terrace Street","Now 30 years strong, the Seattle Men's Chorus puts up numerous shows a year, including holiday festivities. Its sister group, the Seattle Women's Chorus, also conducts their own programs, as well as joint concerts with the men.","100% love it,   7 Ratings",,,,,,,,,,
Hyatt at Olive 8,"1635 8th Ave, Seattle, WA 98101, Near: Olive Street","This sleek, modern hotel features excellent service and lots of green touches, like energy-saving lights, water-saving features and a planted green roof. All in all, a relaxing and guilt-free stay.",What do you think of this place? Love it or not?,,,,,,,,,,
Outwest,"5401 California Ave SW, Seattle, WA 98136, Near: SW Brandon Street","A friendly neighborhood bar with trivia nights, lesbian nights, and karaoke.","100% love it,   8 Ratings",alleykat,"fun neighborhood bar\nCasual and friendly, Outwest has a loyal local group of patrons but is also a fun place for visitors. The friendly vibe makes it easy to meet and talk to people. Saturday nights are a highlight with a weekly drag show from 9-midnight. Dolly Madison is 7ft in heels and hosts the evening while performing multiple numbers all with costume changes. Music videos feature during the show. Fridays are video DJ nights.",Loves it,,,,,,,
